iter	Passed	Remaining
409	4051	5830
410	4061	5820
411	4069	5808
412	4079	5797
413	4089	5788
414	4097	5775
415	4106	5765
416	4114	5752
417	4123	5741
418	4131	5728
419	4140	5718
420	4149	5706
421	4157	5694
422	4166	5683
423	4174	5671
424	4184	5661
425	4194	5651
426	4203	5640
427	4210	5627
428	4219	5615
429	4227	5604
430	4236	5592
431	4244	5581
432	4254	5570
433	4263	5559
434	4273	5550
435	4283	5540
436	4292	5530
437	4305	5524
438	4314	5513
439	4323	5502
440	4336	5496
441	4347	5488
442	4357	5479
443	4367	5468
444	4374	5455
445	4384	5446
446	4392	5433
447	4403	5425
448	4410	5412
449	4419	5401
450	4430	5392
451	4438	5381
452	4447	5370
453	4455	5358
454	4466	5349
455	4475	5338
456	4485	5329
457	4493	5317
458	4502	5306
459	4509	5293
460	4518	5283
461	4527	5272
462	4536	5261
463	4544	5249
464	4553	5238
465	4561	5227
466	4568	5214
467	4578	5204
468	4586	5192
469	4595	5182
470	4602	5169
471	4611	5158
472	4618	5146
473	4627	5135
474	4636	5124
475	4644	5113
476	4654	5102
477	4661	5090
478	4669	5079
479	4678	5067
480	4686	5057
481	4696	5047
482	4704	5035
483	4712	5024
484	4722	5014
485	4730	5003
486	4739	4992
487	4748	4982
488	4757	4971
489	4766	4960
490	4775	4950
491	4784	4939
492	4793	4929
493	4805	4921
494	4814	4911
495	4825	4903
496	4833	4892
497	4842	4881
498	4853	4872
499	4862	4862
500	4871	4851
501	4881	4842
502	4888	4830
503	4896	4819
504	4906	4809
505	4915	4798
506	4923	4787
507	4932	4777
508	4942	4768
509	4951	4757
510	4959	4746
511	4966	4734
512	4976	4724
513	4984	4713
514	4994	4703
515	5005	4694
516	5013	4683
517	5021	4672
518	5030	4662
519	5038	4650
520	5047	4640
521	5056	4630
522	5065	4619
523	5075	4610
524	5084	4599
525	5093	4589
526	5107	4583
527	5120	4577
528	5132	4569
529	5145	4562
530	5155	4553
531	5164	4542
532	5174	4534
533	5183	4523
534	5193	4514
535	5202	4503
536	5211	4493
537	5221	4483
538	5230	4473
539	5239	4463
540	5250	4454
541	5259	4444
542	5269	4435
543	5278	4424
544	5290	4417
545	5300	4407
546	5309	4396
547	5323	4391
548	5335	4383
549	5342	4370
550	5351	4360
551	5360	4350
552	5371	4341
553	5379	4330
554	5389	4321
555	5398	4311
556	5408	4301
557	5418	4292
558	5427	4281
559	5435	4271
560	5445	4260
561	5452	4249
562	5461	4239
563	5470	4229
564	5479	4218
565	5488	4208
566	5496	4197
567	5504	4186
568	5512	4175
569	5522	4165
570	5533	4157
571	5540	4145
572	5548	4134
573	5557	4124
574	5567	4114
575	5576	4104
576	5584	4094
577	5592	4083
578	5600	4072
579	5608	4061
580	5617	4050
581	5626	4041
582	5635	4030
583	5643	4019
584	5652	4009
585	5662	4000
586	5670	3989
587	5679	3979
588	5687	3968
589	5696	3958
590	5705	3948
591	5716	3939
592	5724	3928
593	5734	3919
594	5743	3909
595	5753	3900
596	5764	3891
597	5773	3881
598	5783	3872
599	5790	3860
600	5801	3851
601	5810	3841
602	5818	3830
603	5829	3821
604	5839	3812
605	5847	3802
606	5856	3791
607	5864	3781
608	5873	3771
609	5882	3761
610	5892	3751
611	5901	3741
612	5912	3732
613	5921	3722
614	5930	3712
615	5938	3701
616	5948	3692
617	5954	3680
