,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,Ar (интенс.),N2 (интенс.),эл. энергия (интенс.),произв жидкая сталь,расход газ Ar,расход газ  N2,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  ферванит,ферспл  фх850А,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Mn_1,химсталь первый N_1,химсталь первый Si_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Mn,химсталь последний N,химсталь последний Si,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
3797,19.0,43.35,23.3333333,43.1833333,4.2271813,0.37306999999999996,0.08685599999999999,0.08316,0.09110499999999999,0.09060560000000001,1537.0,7.191185099999999,8.824025599999999,13541.142857100001,115.3,4.079,7.672000000000001,0.063,0.05,0.39799999999999996,0.0,0.02,0.105,0.13,0.023400999999999998,0.154,0.002,0.563,0.21899999999999997,0.725,0.008,0.461,0.005,0.002,0.841,0.0001,0.29,0.7929999999999999,0.012,0.539,0.085,4.5,56.0,0.6,14.5,0.13,2.2,25.5,4.2,56.2,0.5,10.6,0.19,2.2,26.8
3811,7.0,43.8833333,27.8333333,43.3666667,5.3945172999999995,0.41038109999999994,0.06486,0.11930999999999999,0.1141,0.0905207,1561.0,13.346888,14.0910103,13518.323353299998,113.0,1.787,18.287,0.28600000000000003,0.05,0.441,0.062,0.02,0.125,0.187,0.02304,0.115,0.001,0.5329999999999999,0.22899999999999998,0.684,0.009000000000000001,0.433,0.003,0.003,0.831,0.0004,0.284,0.799,0.013000000000000001,0.529,0.079,3.2,56.3,0.7,16.7,0.11,2.1,26.3,4.4,58.1,0.6,9.7,0.11,2.3,25.6
3812,5.0,47.533333299999995,24.033333300000002,47.1833333,4.0,0.4778085999999999,0.108852,0.140778,0.122654,0.0950541,1573.0,14.1586667,19.394502,12580.0277393,118.0,10.619000000000002,15.09,0.157,0.05,0.512,0.048,0.02,0.129,0.221,0.025535,0.193,0.002,0.508,0.19699999999999998,0.67,0.008,0.43700000000000006,0.003,0.004,0.856,0.0003,0.28800000000000003,0.792,0.013000000000000001,0.539,0.081,4.0,48.1,0.8,8.9,0.09,2.4,20.2,4.5,55.0,0.5,9.3,0.21,2.1,25.9
3813,8.0,44.716666700000005,26.65,44.5666667,4.9710598,0.26925390000000005,0.07614,0.09151799999999999,0.102494,0.09300139999999998,1522.0,13.2191166,11.834338699999998,13888.930581600001,114.5,10.142000000000001,8.501,0.204,0.05,0.22,0.053,0.02,0.11900000000000001,0.14300000000000002,0.025571,0.135,0.002,0.659,0.223,0.7120000000000001,0.006999999999999999,0.462,0.004,0.003,0.835,0.0003,0.28800000000000003,0.799,0.01,0.534,0.085,3.1,59.2,0.4,9.1,0.07,2.3,25.7,3.7,62.0,1.0,9.8,0.13,2.6,24.1
3814,10.0,44.3833333,23.2333333,44.216666700000005,3.8286506,0.200044,0.08177999999999999,0.11338800000000002,0.098854,0.0947043,1558.0,10.0253344,10.6054054,13057.101865100001,116.8,7.079,7.848,0.16899999999999998,0.05,0.14,0.079,0.02,0.10400000000000001,0.17800000000000002,0.025788,0.145,0.002,0.721,0.221,0.7040000000000001,0.008,0.469,0.004,0.003,0.8440000000000001,0.0006,0.293,0.8059999999999999,0.009000000000000001,0.551,0.084,4.4,61.9,0.4,9.3,0.07,2.6,23.6,4.3,56.9,0.6,9.2,0.16,2.2,25.7
3816,16.0,46.6833333,26.033333300000002,46.35,5.5463259,0.357642,0.08742,0.122502,0.083251,0.0933571,1530.0,14.126210999999998,13.6085106,13694.7503201,115.1,8.668,12.259,0.147,0.05,0.35200000000000004,0.079,0.02,0.076,0.193,0.025861000000000002,0.155,0.002,0.562,0.21100000000000002,0.685,0.009000000000000001,0.46,0.003,0.003,0.855,0.0003,0.289,0.797,0.013999999999999999,0.527,0.085,2.8,59.7,0.2,12.3,0.05,2.2,26.6,3.0,54.5,0.5,9.3,0.08,2.3,24.2
3817,11.0,49.1833333,18.5,48.7,2.7361174999999998,0.4600648,0.105468,0.17513399999999998,0.150332,0.0945551,1610.0,14.203926500000001,17.218788800000002,12385.945945899999,117.7,12.46,12.321,0.235,0.05,0.491,0.057999999999999996,0.02,0.157,0.275,0.02445,0.187,0.001,0.505,0.2,0.642,0.009000000000000001,0.419,0.003,0.003,0.8440000000000001,0.0005,0.289,0.7959999999999999,0.015,0.542,0.084,3.9,51.8,1.3,14.2,0.15,2.0,25.4,4.7,48.8,0.3,11.9,0.1,2.1,24.3
3818,17.0,50.5,22.466666699999998,50.1666667,3.3592527999999997,0.509795,0.075012,0.083724,0.121702,0.0899304,1585.0,14.3475497,17.0661745,12191.3946588,112.1,12.036,14.127,0.16,0.05,0.569,0.057,0.02,0.152,0.13,0.022642,0.133,0.001,0.442,0.225,0.727,0.006999999999999999,0.447,0.003,0.003,0.84,0.0004,0.29,0.8059999999999999,0.016,0.547,0.083,3.2,57.0,0.2,13.8,0.09,2.1,26.6,4.2,47.0,0.5,10.3,0.11,2.2,21.1
3819,26.0,43.3833333,20.4833333,42.7333333,4.5002614,0.363235,0.11223599999999999,0.163458,0.12895399999999999,0.0949607,1558.0,13.1521173,9.681502900000002,13266.3954434,118.1,13.459000000000001,3.722,0.22,0.05,0.37799999999999995,0.057,0.02,0.129,0.257,0.023763,0.19899999999999998,0.001,0.565,0.19399999999999998,0.6609999999999999,0.008,0.434,0.003,0.004,0.851,0.0007,0.28800000000000003,0.8,0.013000000000000001,0.532,0.083,3.8,55.2,0.4,11.3,0.12,2.1,26.3,4.3,56.3,0.7,10.1,0.18,2.1,26.3
3820,23.0,53.2333333,28.1,52.9,4.0769811,0.4673254,0.128592,0.182448,0.105084,0.0898099,1547.0,7.1571114,5.5544066,12708.896797200001,112.0,10.847000000000001,1.3130000000000002,0.235,0.05,0.462,0.061,0.02,0.084,0.28800000000000003,0.022895,0.228,0.001,0.469,0.179,0.627,0.009000000000000001,0.43700000000000006,0.002,0.002,0.855,0.0001,0.29,0.787,0.011000000000000001,0.531,0.08199999999999999,3.1,56.1,0.6,12.0,0.06,2.1,26.3,4.1,55.6,0.6,9.8,0.18,2.1,26.2
