;МАРКА;ПРОФИЛЬ;t вып-обр;t обработка;t под током;t продувка;ПСН гр.;чист расход C;чист расход Cr;чист расход Mn;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;расход газ Ar;сыпуч известь РП;сыпуч кокс пыль УСТК;сыпуч  кокс. мелочь КМ1;сыпуч  шпат плав.;ферспл CaC2;ферспл  FeV-80;ферспл  Mn5Si65Al0.5;ферспл SiMn18;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый Mo_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Cu;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний Ni;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
4178;Э90ХАФ;Р65;55,0;44,2;19,5;43,7;3,0403507;0,58327;0,155946;0,138282;0,128385;0,09174960000000001;1592,0;1574,0;13,850085199999999;13012,307692299999;113,5;1,0;13,55;0,12300000000000001;0,05;0,642;0,051;0,02;0,100658;0,141;0,214;0,282;4229,0;0,002;0,41200000000000003;0,16699999999999998;0,098;0,6779999999999999;0,006;0,01;0,063;0,008;0,02;0,435;0,001;0,002;0,003;0,846;0,0003;0,302;0,095;0,8009999999999999;0,006;0,013999999999999999;0,062;0,008;0,013000000000000001;0,546;0,003;0,084;5,0;53,0;0,5;13,7;0,17;2,2;24,1;5,2;52,4;0,4;13,5;0,15;2,2;24,4
4179;Э90ХАФ;Р65;33,0;50,3833333;23,5166667;50,216666700000005;3,9574468;0,5884199999999999;0,112812;0,151668;0,11457;0,0952578;1570,0;1580,0;15,005050199999998;13583,557760499998;117,0;1,0;15,350999999999999;0,209;0,05;0,6559999999999999;0,052000000000000005;0,02;0,103877;0,114;0,23600000000000002;0,204;5324,0;0,002;0,402;0,204;0,113;0,672;0,01;0,009000000000000001;0,081;0,006999999999999999;0,025;0,452;0,001;0,003;0,003;0,841;0,0003;0,299;0,114;0,804;0,01;0,015;0,08;0,009000000000000001;0,017;0,54;0,003;0,085;4,7;47,7;0,5;9,5;0,15;2,2;21,3;4,4;57,7;0,4;7,9;0,16;2,1;27,2
4180;Э90ХАФ;Р65;41,0;44,8833333;24,033333300000002;44,533333299999995;3,6090256000000003;0,5584600000000001;0,133826;0,152141;0,10953299999999999;0,09396950000000001;1555,0;1578,0;13,7782422;13780,859916799998;116,1;1,0;12,454;0,17800000000000002;0,05;0,615;0,051;0,02;0,103805;0,106;0,237;0,242;5520,0;0,002;0,441;0,184;0,107;0,669;0,006;0,009000000000000001;0,065;0,006999999999999999;0,023;0,452;0,002;0,002;0,003;0,858;0,0003;0,29600000000000004;0,105;0,7979999999999999;0,006;0,013999999999999999;0,064;0,008;0,019;0,544;0,003;0,086;4,9;52,4;0,3;8,3;0,1;2,5;20,7;5,6;59,9;0,6;7,0;0,08;2,6;23,3
4181;Э90ХАФ;Р65;46,0;46,8833333;24,85;46,5166667;3,0;0,6053350000000001;0,145439;0,22074499999999997;0,13581300000000002;0,0937985;1557,0;1589,0;12,922412199999998;14057,142857100001;115,4;1,0;11,964;0,21;0,05;0,6679999999999999;0,051;0,02;0,10300899999999999;0,11800000000000001;0,345;0,263;5822,0;0,002;0,40299999999999997;0,172;0,11;0,611;0,009000000000000001;0,01;0,071;0,006;0,023;0,43700000000000006;0,002;0,002;0,003;0,868;0,0004;0,292;0,109;0,7979999999999999;0,009000000000000001;0,016;0,071;0,006999999999999999;0,016;0,536;0,003;0,085;4,6;54,4;0,5;12,1;0,13;2,3;23,9;4,0;54,0;0,6;9,0;0,19;2,1;26,9
4182;Э90ХАФ;Р65;54,0;46,0166667;27,55;45,6833333;4,5644545999999995;0,6051300000000001;0,131614;0,178527;0,110205;0,09411839999999999;1532,0;1579,0;13,450142800000002;14203,9927405;115,4;1,0;13,084000000000001;0,077;0,05;0,672;0,05;0,02;0,103371;0,096;0,27899999999999997;0,23800000000000002;6522,0;0,002;0,409;0,19;0,138;0,653;0,008;0,009000000000000001;0,079;0,006999999999999999;0,025;0,452;0,002;0,002;0,003;0,851;0,0003;0,301;0,136;0,8;0,008;0,015;0,079;0,008;0,019;0,5579999999999999;0,004;0,084;4,4;60,5;0,4;7,4;0,1;2,6;23,1;4,4;57,8;0,3;8,3;0,13;2,2;26,7
4183;Э90ХАФ;Р65;43,0;45,3833333;24,8333333;44,3833333;3,0;0,581285;0,111153;0,139228;0,11831099999999999;0,0919479;1571,0;1588,0;16,246502800000002;13324,832214799999;113,2;1,0;14,324000000000002;0,247;0,05;0,648;0,05;0,02;0,10116499999999999;0,125;0,21600000000000003;0,201;5515,0;0,002;0,40399999999999997;0,2;0,105;0,6729999999999999;0,009000000000000001;0,01;0,067;0,006999999999999999;0,028999999999999998;0,441;0,002;0,002;0,003;0,841;0,0004;0,297;0,106;0,8029999999999999;0,009000000000000001;0,016;0,067;0,008;0,019;0,529;0,003;0,085;5,2;57,4;0,4;8,7;0,1;2,4;24,2;5,3;58,0;0,5;10,5;0,11;2,5;22,9
4184;Э90ХАФ;Р65;49,0;44,3833333;23,7;44,216666700000005;3,2309919999999996;0,57198;0,12719;0,151275;0,12221099999999999;0,0960707;1562,0;1579,0;11,8949309;12972,1518987;118,5;1,0;8,604000000000001;0,177;0,05;0,633;0,05;0,02;0,10626400000000001;0,126;0,235;0,23;5124,0;0,002;0,42100000000000004;0,191;0,11;0,6729999999999999;0,006999999999999999;0,009000000000000001;0,071;0,008;0,024;0,45;0,002;0,002;0,004;0,868;0,0006;0,29600000000000004;0,111;0,804;0,006999999999999999;0,019;0,071;0,009000000000000001;0,016;0,54;0,003;0,085;4,7;52,3;0,4;8,3;0,09;2,5;20,9;3,8;55,1;0,7;8,6;0,2;2,0;27,8
4185;Э90ХАФ;Р65;52,0;46,533333299999995;21,8666667;46,3666667;3,1978022;0,54052;0,131614;0,16070399999999999;0,163494;0,0935985;1564,0;1578,0;15,9746141;13110,3658537;115,1;1,0;10,347999999999999;0,16899999999999998;0,05;0,593;0,057999999999999996;0,02;0,103299;0,18600000000000003;0,248;0,23800000000000002;4778,0;0,002;0,434;0,185;0,10300000000000001;0,667;0,006;0,011000000000000001;0,066;0,008;0,022000000000000002;0,401;0,002;0,002;0,003;0,856;0,0003;0,299;0,105;0,807;0,006999999999999999;0,02;0,066;0,009000000000000001;0,018000000000000002;0,539;0,003;0,085;5,2;56,7;0,2;10,1;0,08;2,2;25,7;5,3;53,5;0,4;6,6;0,07;2,4;22,6
4186;Э90ХАФ;Р65;54,0;46,1833333;24,35;45,7;3,8813776;0,609075;0,148757;0,194372;0,115131;0,095216;1546,0;1584,0;17,267222;13852,9774127;116,0;1,0;13,243;0,21;0,05;0,6729999999999999;0,045;0,02;0,10489000000000001;0,09699999999999999;0,304;0,26899999999999996;5622,0;0,002;0,38799999999999996;0,177;0,129;0,637;0,006999999999999999;0,009000000000000001;0,075;0,006999999999999999;0,024;0,45299999999999996;0,001;0,002;0,003;0,852;0,0005;0,3;0,129;0,8029999999999999;0,008;0,017;0,075;0,009000000000000001;0,013999999999999999;0,5379999999999999;0,003;0,085;5,1;48,0;0,5;11,2;0,16;2,1;22,8;4,4;43,4;0,7;7,5;0,1;2,2;19,5
4187;Э76ХФ;Р65;24,0;49,8666667;32,5833333;49,8666667;4,8826361;0,46043;0,128296;0,152434;0,098637;0,0390971;1542,0;1620,0;11,5444294;14121,943734;113,8;1,0;18,997;0,066;0,05;0,495;0,038;0,02;0,049117;0,08900000000000001;0,23800000000000002;0,23199999999999998;7669,0;0,002;0,445;0,309;0,114;0,6659999999999999;0,006;0,009000000000000001;0,066;0,01;0,022000000000000002;0,486;0,002;0,003;0,003;0,773;0,0003;0,419;0,115;0,799;0,006;0,011000000000000001;0,067;0,011000000000000001;0,019;0,5660000000000001;0,003;0,038;5,9;59,7;0,2;8,5;0,07;2,6;23,0;7,1;59,5;0,5;3,6;0,07;2,7;21,9
