;МАРКА;ПРОФИЛЬ;t вып-обр;t обработка;t под током;t продувка;ПСН гр.;чист расход C;чист расход Cr;чист расход Mn;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;расход газ Ar;сыпуч известь РП;сыпуч кокс пыль УСТК;сыпуч  кокс. мелочь КМ1;сыпуч  шпат плав.;ферспл CaC2;ферспл  FeV-80;ферспл  Mn5Si65Al0.5;ферспл SiMn18;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый Mo_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Cu;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний Ni;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
1;Э76ХАФ;Р65;12,0;55,05;24,7;54,0666667;4,1000767;0,40326999999999996;0,10735;0,1623375;0,087921;0,0652614;1556,0;1605,0;9,618156800000001;14106,0728745;110,2;1,0;11,654000000000002;0,066;0,546;0,33799999999999997;0,066;0,02;0,068106;0,069;0,24600000000000002;0,19;5807,0;0,002;0,402;0,305;0,077;0,655;0,005;0,009000000000000001;0,12;0,009000000000000001;0,013999999999999999;0,48100000000000004;0,002;0,002;0,003;0,725;0,0003;0,395;0,076;0,7929999999999999;0,004;0,013999999999999999;0,16;0,009000000000000001;0,011000000000000001;0,5660000000000001;0,003;0,057;3,75;60,2;0,4;6,9;0,15;2,7;22,15;4,25;57,5;0,5;7,7;0,16;2,1;23,97282468924129
2;Э76ХАФ;Р65;21,0;47,0166667;17,15;46,6666667;3,8584433;0,439175;0,114695;0,19551;0,161616;0,0646104;1573,0;1599,0;7,7171946;14053,644314899999;117,2;1,0;9,475;0,155;0,15;0,384;0,036000000000000004;0,02;0,067021;0,16799999999999998;0,294;0,203;4017,0;0,001;0,40299999999999997;0,303;0,085;0,619;0,005;0,013000000000000001;0,122;0,01;0,015;0,406;0,001;0,002;0,003;0,7170000000000001;0,0001;0,397;0,084;0,7829999999999999;0,004;0,013000000000000001;0,156;0,01;0,013000000000000001;0,5529999999999999;0,003;0,055999999999999994;3,75;54,2;0,5;14,2;0,44;2,2;22,15;4,25;57,3;0,6;8,4;0,16;2,2;23,97282468924129
3;Э76ХАФ;Р65;21,0;49,7;27,7166667;49,2;3,3460751;0,46863999999999995;0,11187000000000001;0,2031325;0,130141;0,06376799999999999;1543,0;1590,0;15,448345800000002;12912,808178;115,7;1,0;14,397;0,077;0,05;0,507;0,038;0,02;0,066262;0,11699999999999999;0,307;0,198;5965,0;0,002;0,386;0,31;0,081;0,63;0,005;0,01;0,14400000000000002;0,009000000000000001;0,016;0,447;0,002;0,002;0,003;0,723;0,0003;0,397;0,079;0,7859999999999999;0,003;0,013999999999999999;0,156;0,009000000000000001;0,013999999999999999;0,5589999999999999;0,003;0,055999999999999994;3,75;53,6;0,3;8,1;0,15;2,3;22,15;4,25;57,3;0,4;9,3;0,14;2,2;23,97282468924129
4;Э76ХАФ;Р65;21,0;50,8833333;14,85;50,716666700000005;4,3375394;0,449985;0,093225;0,14947;0,105976;0,06196619999999999;1627,0;1586,0;8,0585774;13608,0808081;112,0;1,0;5,885;0,111;0,165;0,39;0,078;0,02;0,063766;0,1;0,228;0,165;3368,0;0,002;0,401;0,316;0,098;0,655;0,006;0,01;0,126;0,009000000000000001;0,016;0,456;0,002;0,002;0,003;0,715;0,0002;0,395;0,099;0,7859999999999999;0,005;0,015;0,161;0,01;0,011000000000000001;0,5489999999999999;0,003;0,055999999999999994;3,75;57,4;1,1;10,6;0,14;2,5;22,15;4,25;59,6;0,8;10,1;0,15;2,6;23,97282468924129
5;Э76ХАФ;Р65;22,0;47,533333299999995;18,5;47,3666667;3,0465758000000003;0,50664;0,10282999999999999;0,2112455;0,188146;0,0627779;1603,0;1602,0;6,5594306;12895,135135100001;115,1;1,0;2,048;0,131;0,05;0,555;0,038;0,02;0,06492300000000001;0,193;0,331;0,182;3976,0;0,001;0,361;0,313;0,09;0,6;0,006;0,01;0,126;0,009000000000000001;0,016;0,413;0,001;0,002;0,003;0,731;0,0002;0,39799999999999996;0,091;0,7859999999999999;0,005;0,017;0,159;0,01;0,012;0,565;0,002;0,055999999999999994;3,75;50,5;1,2;18,1;0,33;2,0;22,15;4,25;57,0;0,5;9,2;0,17;2,1;23,97282468924129
6;Э76ХАФ;Р65;22,0;55,85;21,7;55,85;2,0;0,494805;0,135035;0,2466915;0,185357;0,06348290000000001;1590,0;1587,0;27,585;13374,1935484;114,8;1,0;0,613;0,187;0,05;0,5329999999999999;0,04;0,02;0,065683;0,17300000000000001;0,38799999999999996;0,239;4837,0;0,001;0,36;0,284;0,086;0,573;0,005;0,01;0,11800000000000001;0,006999999999999999;0,016;0,413;0,001;0,002;0,002;0,732;0,0001;0,395;0,087;0,7879999999999999;0,003;0,02;0,161;0,008;0,013000000000000001;0,555;0,002;0,055999999999999994;3,75;50,6;1,1;14,2;0,59;2,0;22,15;4,25;56,0;0,5;8,3;0,18;2,1;23,97282468924129
7;Э76ХАФ;Р65;30,0;50,533333299999995;17,2;50,3666667;2,4657223999999998;0,45943500000000004;0,084185;0,173546;0,152892;0,061623000000000004;1577,0;1593,0;8,4884211;14236,0465116;112,9;1,0;8,064;0,23399999999999999;0,141;0,423;0,07400000000000001;0,02;0,064272;0,156;0,272;0,149;4081,0;0,002;0,384;0,325;0,08900000000000001;0,633;0,006999999999999999;0,009000000000000001;0,124;0,009000000000000001;0,016;0,434;0,001;0,002;0,002;0,73;0,0001;0,396;0,08900000000000001;0,787;0,005;0,015;0,159;0,01;0,015;0,5579999999999999;0,003;0,055999999999999994;3,75;47,5;0,4;11,1;0,35;2,0;22,15;4,25;57,7;0,6;9,0;0,16;2,2;23,97282468924129
8;Э76ХАФ;Р65;40,0;45,3833333;17,0166667;45,216666700000005;3,1760905;0,464055;0,12260499999999999;0,15373;0,157612;0,062105499999999994;1575,0;1585,0;14,033009699999997;14181,3907933;114,6;1,0;4,015;0,078;0,05;0,501;0,038;0,02;0,064272;0,172;0,24;0,217;4022,0;0,002;0,375;0,297;0,077;0,655;0,005;0,008;0,11599999999999999;0,011000000000000001;0,013000000000000001;0,428;0,002;0,003;0,003;0,721;0,0001;0,39799999999999996;0,076;0,7859999999999999;0,004;0,018000000000000002;0,158;0,012;0,013000000000000001;0,56;0,003;0,057;3,75;52,3;0,4;15,5;0,23;2,0;22,15;4,25;51,1;0,6;11,6;0,14;2,3;23,97282468924129
11;Э76ХФ;Р65;7,0;47,0166667;23,1666667;47,0166667;2,7765177000000003;0,42198;0,11668800000000001;0,11836700000000001;0,13;0,0388069;1604,0;1635,0;14,371774800000003;12519,7122302;111,7;1,0;22,404;0,122;0,05;0,452;0,038;0,02;0,048539;0,155;0,17600000000000002;0,204;4834,0;0,002;0,418;0,319;0,091;0,6920000000000001;0,006;0,01;0,063;0,011000000000000001;0,017;0,457;0,001;0,002;0,004;0,753;0,0004;0,418;0,091;0,799;0,005;0,012;0,062;0,011000000000000001;0,011000000000000001;0,5720000000000001;0,003;0,036000000000000004;5,2;56,2;0,7;11,7;0,14;2,7;20,6;4,5;55,8;0,4;9,4;0,1;2,0;27,4
12;Э76ХФ;Р65;12,0;49,3833333;32,1666667;49,3833333;3,62601;0,404285;0,11611600000000001;0,15095799999999998;0,129965;0,0384599;1536,0;1613,0;6,9769048;12780,9326425;113,7;1,0;11,446;0,08199999999999999;0,05;0,429;0,048;0,02;0,048105;0,141;0,22699999999999998;0,203;6852,0;0,002;0,452;0,318;0,114;0,6659999999999999;0,006999999999999999;0,011000000000000001;0,073;0,009000000000000001;0,019;0,451;0,002;0,002;0,004;0,772;0,0003;0,419;0,113;0,799;0,006999999999999999;0,011000000000000001;0,07200000000000001;0,01;0,013999999999999999;0,563;0,003;0,035;5,0;53,8;1,4;10,1;0,2;2,3;23,1;4,8;55,0;0,6;7,6;0,14;2,0;27,2
13;Э76ХФ;Р65;23,0;42,033333299999995;29,383333299999997;42,033333299999995;2,0;0,30571;0,082368;0,058185;0,085275;0,0376213;1529,0;1595,0;13,0232355;12482,5865003;112,5;1,0;18,247;0,054000000000000006;0,05;0,317;0,06;0,02;0,047056;0,11;0,085;0,14400000000000002;6113,0;0,002;0,521;0,348;0,092;0,7340000000000001;0,009000000000000001;0,009000000000000001;0,071;0,012;0,017;0,484;0,002;0,003;0,003;0,773;0,0002;0,418;0,092;0,784;0,008;0,011000000000000001;0,071;0,013000000000000001;0,013000000000000001;0,5660000000000001;0,003;0,036000000000000004;3,9;55,6;0,5;7,3;0,16;3,2;17,6;4,5;59,1;0,2;4,5;0,1;2,2;26,9
14;Э76ХФ;Р65;21,0;43,8666667;25,716666699999998;43,8666667;2,0;0,15538;0,077792;0,06343700000000001;0,060145000000000004;0,0367538;1530,0;1595,0;11,611422;12421,516526200001;109,7;1,0;16,942999999999998;0,042;0,05;0,132;0,085;0,02;0,045971;0,068;0,095;0,136;5324,0;0,004;0,639;0,35;0,10099999999999999;0,73;0,008;0,009000000000000001;0,069;0,013000000000000001;0,017;0,508;0,003;0,004;0,004;0,7559999999999999;0,0003;0,42200000000000004;0,102;0,79;0,006999999999999999;0,01;0,069;0,013999999999999999;0,012;0,564;0,003;0,037000000000000005;4,3;64,6;0,3;8,7;0,13;2,9;22,3;4,9;61,3;0,3;5,7;0,13;2,3;26,3
15;Э76ХФ;Р65;20,0;49,7333333;25,65;49,7333333;2,8791045;0,34951;0,0858;0,12235399999999999;0,10515999999999999;0,0385175;1544,0;1591,0;10,442292199999999;12879,532163700002;114,6;1,0;17,311;0,06;0,05;0,368;0,07200000000000001;0,02;0,048177;0,114;0,184;0,15;5506,0;0,003;0,469;0,34600000000000003;0,105;0,679;0,008;0,012;0,071;0,012;0,018000000000000002;0,469;0,003;0,003;0,003;0,7809999999999999;0,0004;0,419;0,10800000000000001;0,787;0,006999999999999999;0,012;0,07200000000000001;0,013999999999999999;0,015;0,563;0,003;0,036000000000000004;4,9;63,0;0,7;10,4;0,16;2,8;22,8;4,6;56,6;0,2;7,8;0,12;2,1;27,0
16;Э76ХФ;Р65;35,0;47,8666667;20,216666699999998;47,8666667;3,4925752999999995;0,350455;0,160403;0,038939;0,076329;0,0370848;1559,0;1584,0;8,957415300000001;13322,6710635;109,2;1,0;14,093;0,052000000000000005;0,05;0,359;0,081;0,02;0,046513;0,10300000000000001;0,055999999999999994;0,27699999999999997;4489,0;0,002;0,46;0,327;0,094;0,748;0,008;0,01;0,068;0,011000000000000001;0,023;0,48100000000000004;0,001;0,002;0,003;0,772;0,0002;0,467;0,09300000000000001;0,7859999999999999;0,006999999999999999;0,012;0,068;0,011000000000000001;0,017;0,561;0,002;0,036000000000000004;3,6;58,1;0,4;8,6;0,13;2,6;22,1;3,8;62,3;0,5;4,7;0,08;2,7;23,3
21;Э90ХАФ;Р65;39,0;50,3666667;22,5166667;50,033333299999995;2,6373502999999996;0,498855;0,049068;0,133992;0,072604;0,0894414;1582,0;1587,0;7,343694800000001;13531,310140600002;109,1000001;1,0;11,55;0,052000000000000005;0,113;0,504;0,1400001;0,020000099999999996;0,098235;0,0600001;0,206;0,087;5078,0;0,002;0,43799999999999994;0,244;0,10400000000000001;0,672;0,008;0,01;0,076;0,009000000000000001;0,024;0,47100000000000003;0,002;0,002;0,003;0,8440000000000001;0,0002;0,289;0,10400000000000001;0,792;0,006;0,013999999999999999;0,075;0,011000000000000001;0,018000000000000002;0,552;0,003;0,084;4,0;62,1;0,3;7,0;0,17;2,6;23,8;3,6;62,1;0,3;7,1;0,17;2,7;23,0
22;Э90ХАФ;Р65;6,0;48,55;15,35;48,3833333;2,0;0,41936999999999997;0,100392;0,25958000000000003;0,141782;0,0923408;1616,0;1583,0;11,297547199999999;12582,4104235;112,5;1,0;6,653;0,10400000000000001;0,05;0,446;0,07400000000000001;0,02;0,102214;0,11800000000000001;0,39899999999999997;0,17800000000000002;3219,0;0,001;0,5329999999999999;0,201;0,096;0,568;0,015;0,01;0,08199999999999999;0,006999999999999999;0,022000000000000002;0,41100000000000003;0,001;0,001;0,003;0,845;0,0002;0,28800000000000003;0,096;0,795;0,013000000000000001;0,017;0,08199999999999999;0,008;0,017;0,547;0,002;0,085;3,1;56,1;0,4;15,6;0,1;2,1;26,6;3,6;50,3;0,3;10,0;0,11;2,2;23,4
23;НХ;НЕТ;9,0;42,3333333;16,15;42,1833333;2,0719901000000003;0,472325;0,046812;0,21407199999999998;0,075152;0,0898846;1590,0;1578,0;17,670803399999997;12802,4767802;109,8;1,0;15,03;0,04;0,05;0,523;0,08199999999999999;0,02;0,098597;0,032;0,332;0,083;3446,0;0,001;0,42700000000000005;0,248;0,09699999999999999;0,59;0,064;0,01;0,084;0,008;0,022000000000000002;0,455;0,001;0,002;0,003;0,871;0,0005;0,28800000000000003;0,09699999999999999;0,78;0,061;0,013999999999999999;0,084;0,009000000000000001;0,017;0,545;0,003;0,084;3,4;54,8;0,9;11,9;0,14;2,4;22,5;4,1;58,8;0,3;7,4;0,06;2,2;26,5
24;НХ;НЕТ;6,0;43,6833333;17,0166667;43,5166667;1,5234676999999999;0,506075;0,088548;0,21452;0,141784;0,0920558;1609,0;1582,0;12,2155662;12510,088148899998;113,5;1,0;9,199;0,04;0,05;0,557;0,047;0,02;0,101888;0,136;0,32799999999999996;0,157;3548,0;0,001;0,47700000000000004;0,21899999999999997;0,092;0,611;0,023;0,009000000000000001;0,073;0,011000000000000001;0,019;0,413;0,001;0,002;0,002;0,851;0,0002;0,293;0,091;0,7879999999999999;0,02;0,013000000000000001;0,07200000000000001;0,012;0,016;0,53;0,002;0,08199999999999999;3,7;48,3;0,4;11,4;0,12;2,0;24,5;3,8;57,5;0,4;7,2;0,07;2,2;26,6
25;Э90ХАФ;Р65;6,0;40,7;21,9833333;40,533333299999995;2,0;0,5165649999999999;0,09306;0,188972;0,08153200000000001;0,0915456;1563,0;1576,0;11,7141536;13938,7414708;112,0;1,0;7,035;0,052000000000000005;0,05;0,57;0,069;0,02;0,10116499999999999;0,052000000000000005;0,292;0,165;5107,0;0,001;0,424;0,20800000000000002;0,09;0,613;0,018000000000000002;0,01;0,075;0,006999999999999999;0,02;0,452;0,001;0,002;0,003;0,84;0,0004;0,29100000000000004;0,09300000000000001;0,7929999999999999;0,018000000000000002;0,015;0,078;0,008;0,017;0,563;0,003;0,084;3,1;57,8;0,6;12,1;0,28;2,2;26,3;4,1;57,3;0,5;4,6;0,07;2,6;21,7
30;Э76ХФ;Р65;33,0;43,1833333;17,1666667;43,1833333;2,0;0,46048;0,093624;0,07737000000000001;0,12415699999999999;0,038789699999999996;1577,0;1578,0;8,9180239;13082,3300971;114,1;1,0;12,837;0,084;0,05;0,505;0,08199999999999999;0,02;0,049045;0,161;0,11599999999999999;0,166;3743,0;0,002;0,41100000000000003;0,341;0,109;0,7140000000000001;0,006;0,009000000000000001;0,066;0,013999999999999999;0,023;0,45299999999999996;0,002;0,003;0,003;0,768;0,0002;0,418;0,109;0,7809999999999999;0,005;0,011000000000000001;0,067;0,015;0,017;0,562;0,003;0,036000000000000004;5,0;57,1;0,8;8,9;0,18;2,6;22,0;5,6;56,2;1,0;6,7;0,08;2,5;22,4
31;Э76ХФ;Р65;26,0;47,3833333;16,8833333;47,3833333;1,7142857;0,43421499999999996;0,15961199999999998;0,18888;0,14551;0,038932800000000004;1583,0;1586,0;17,675457;13472,458045399999;112,7;1,0;27,666999999999998;0,04;0,05;0,456;0,073;0,02;0,049226;0,15;0,29;0,28300000000000003;3791,0;0,001;0,434;0,282;0,086;0,618;0,008;0,01;0,059000000000000004;0,006;0,018000000000000002;0,441;0,001;0,002;0,003;0,759;0,0002;0,419;0,08800000000000001;0,7879999999999999;0,006999999999999999;0,012;0,059000000000000004;0,008;0,015;0,57;0,003;0,036000000000000004;5,4;58,1;0,4;10,1;0,15;2,6;22,3;4,2;49,8;0,7;11,3;0,13;2,4;20,4
33;Э76ХФ;Р65;23,0;45,5166667;24,2333333;45,5166667;2,7917151000000002;0,172035;0,133601;0,107724;0,069016;0,037840399999999996;1571,0;1632,0;9,1796038;13558,1843191;112,6;1,0;13,902000000000001;0,049;0,05;0,14;0,111;0,02;0,047598;0,064;0,166;0,239;5476,0;0,002;0,6579999999999999;0,303;0,08800000000000001;0,701;0,006;0,006999999999999999;0,061;0,012;0,018000000000000002;0,509;0,003;0,003;0,004;0,763;0,0006;0,42;0,08900000000000001;0,797;0,005;0,01;0,061;0,012;0,011000000000000001;0,5710000000000001;0,003;0,037000000000000005;4,6;62,8;0,4;7,0;0,13;3,0;21,2;4,7;55,2;0,5;5,9;0,09;2,7;20,4
34;Э76ХФ;Р65;29,0;50,3666667;25,1833333;50,3666667;2,0;0,37717;0,126334;0,07305;0,106195;0,0388755;1556,0;1610,0;12,02045;14109,3315685;114,4;1,0;20,180999999999997;0,157;0,05;0,396;0,08800000000000001;0,02;0,0489;0,135;0,11;0,226;5922,0;0,002;0,49700000000000005;0,312;0,10400000000000001;0,72;0,006;0,009000000000000001;0,07;0,012;0,018000000000000002;0,473;0,002;0,003;0,004;0,7759999999999999;0,0004;0,419;0,10400000000000001;0,784;0,005;0,01;0,071;0,013000000000000001;0,012;0,547;0,003;0,036000000000000004;5,2;59,9;0,7;12,0;0,13;2,9;20,9;5,3;56,8;0,5;7,6;0,1;2,6;21,6
36;Э76ХФ;Р65;45,0;47,8833333;21,8833333;47,8833333;4,0;0,406075;0,106769;0,10846800000000001;0,11913299999999999;0,0396236;1557,0;1593,0;13,148207399999999;14158,720487399998;113,4;1,0;20,986;0,053;0,05;0,434;0,044000000000000004;0,02;0,049841;0,141;0,165;0,191;5164,0;0,002;0,474;0,326;0,102;0,7;0,008;0,009000000000000001;0,079;0,011000000000000001;0,018000000000000002;0,466;0,002;0,002;0,004;0,7709999999999999;0,0005;0,418;0,10099999999999999;0,7959999999999999;0,008;0,012;0,079;0,012;0,015;0,579;0,003;0,037000000000000005;5,2;58,5;0,4;6,1;0,1;2,9;20,4;6,7;58,8;0,5;5,9;0,07;2,7;22,2
37;Э76ХФ;Р65;50,0;43,3333333;16,35;43,3333333;2,8015267;0,46223500000000006;0,106769;0,09133200000000001;0,12188800000000001;0,0396808;1581,0;1580,0;11,4251538;13500,917431200001;115,3;1,0;16,503;0,053;0,05;0,504;0,076;0,02;0,049913;0,152;0,138;0,191;3679,0;0,002;0,431;0,32799999999999996;0,10400000000000001;0,7190000000000001;0,006999999999999999;0,009000000000000001;0,07;0,013000000000000001;0,02;0,462;0,002;0,003;0,003;0,7559999999999999;0,0002;0,41600000000000004;0,10099999999999999;0,794;0,006;0,011000000000000001;0,07;0,013999999999999999;0,018000000000000002;0,5770000000000001;0,003;0,036000000000000004;4,8;62,0;0,7;5,5;0,11;2,8;21,8;6,4;59,3;0,5;4,6;0,08;2,7;21,9
41;Э76ХФ;Р65;48,0;51,1833333;19,3666667;51,1833333;4,538247599999999;0,45114;0,120744;0,13488;0,12912200000000001;0,0406014;1576,0;1593,0;8,8755174;14232,7022375;112,8;1,0;14,652000000000001;0,095;0,05;0,486;0,05;0,02;0,051071;0,146;0,20600000000000002;0,21600000000000003;4594,0;0,002;0,415;0,312;0,102;0,665;0,006;0,009000000000000001;0,064;0,008;0,025;0,45;0,001;0,002;0,003;0,7609999999999999;0,0002;0,419;0,105;0,7979999999999999;0,006;0,013000000000000001;0,064;0,009000000000000001;0,017;0,561;0,003;0,038;4,3;51,7;0,5;9,3;0,1;2,5;20,6;5,4;58,9;0,6;7,1;0,11;2,6;23,0
42;Э76ХФ;Р65;55,0;46,6666667;21,15;46,6666667;3,9321017999999994;0,405225;0,111241;0,085212;0,10800499999999999;0,038761000000000004;1547,0;1594,0;13,223684200000001;13931,914893599998;114,4;1,0;20,1;0,063;0,05;0,433;0,096;0,02;0,048756;0,133;0,129;0,19899999999999998;4911,0;0,002;0,478;0,32299999999999995;0,098;0,726;0,006;0,009000000000000001;0,064;0,012;0,02;0,47200000000000003;0,002;0,003;0,004;0,763;0,0011;0,41700000000000004;0,099;0,7979999999999999;0,006;0,011000000000000001;0,065;0,013000000000000001;0,016;0,57;0,004;0,035;4,8;61,5;0,6;6,9;0,09;2,8;21,7;4,6;48,1;1,0;2,2;0,09;2,5;19,5
43;Э76ХФ;Р65;60,0;42,3333333;20,3166667;42,3333333;3,3574066;0,32264;0,108446;0,048264;0,10894100000000001;0,039163300000000005;1551,0;1582,0;11,822767800000001;13646,923708000002;114,5;1,0;16,588;0,040999999999999995;0,05;0,33299999999999996;0,11699999999999999;0,02;0,049262;0,149;0,071;0,19399999999999998;4621,0;0,002;0,5329999999999999;0,326;0,091;0,753;0,006999999999999999;0,008;0,062;0,012;0,018000000000000002;0,47100000000000003;0,002;0,003;0,004;0,762;0,00041;0,41700000000000004;0,09;0,797;0,006;0,011000000000000001;0,062;0,013000000000000001;0,011000000000000001;0,561;0,003;0,036000000000000004;4,8;59,9;0,5;5,9;0,12;3,0;19,9;4,4;57,4;0,4;10,1;0,13;2,2;25,6
44;Э76ХФ;Р65;22,0;46,8666667;13,983333300000002;46,8666667;3,2699229;0,47798;0,143104;0,162138;0,166141;0,040285;1626,0;1590,0;10,0411891;13456,019070299997;113,7;1,0;15,575;0,106;0,05;0,514;0,07400000000000001;0,02;0,050673;0,193;0,244;0,256;3136,0;0,002;0,40399999999999997;0,29600000000000004;0,09699999999999999;0,657;0,006;0,01;0,067;0,009000000000000001;0,025;0,426;0,001;0,002;0,003;0,753;0,0003;0,415;0,098;0,795;0,005;0,012;0,068;0,01;0,015;0,5670000000000001;0,002;0,036000000000000004;3,7;55,5;0,6;11,9;0,14;2,1;26,0;4,1;55,7;0,5;12,1;0,14;2,2;25,9
46;Э76ХФ;Р65;28,0;48,85;15,366666699999998;48,85;3,4858447;0,47479499999999997;0,132483;0,14014200000000002;0,16328399999999998;0,040457599999999996;1616,0;1593,0;11,2513138;13501,9522777;113,3;1,0;18,199;0,052000000000000005;0,05;0,513;0,055;0,02;0,05089;0,198;0,20600000000000002;0,237;3458,0;0,002;0,41600000000000004;0,306;0,102;0,677;0,006;0,011000000000000001;0,07;0,011000000000000001;0,021;0,43200000000000005;0,001;0,002;0,003;0,752;0,0005;0,42;0,10300000000000001;0,802;0,005;0,012;0,071;0,012;0,013000000000000001;0,5770000000000001;0,003;0,037000000000000005;4,2;49,0;0,5;13,1;0,13;2,1;23,6;4,9;50,1;0,4;12,6;0,11;2,1;24,2
47;Э76ХФ;Р65;32,0;43,2;15,0333333;43,2;3,7495652;0,45188;0,13416;0,096795;0,14341700000000002;0,040572000000000004;1591,0;1596,0;12,279383900000001;13426,164079799997;115,2;1,0;17,273;0,063;0,05;0,486;0,039;0,02;0,051033999999999996;0,184;0,141;0,24;3364,0;0,002;0,433;0,306;0,095;0,713;0,01;0,012;0,069;0,011000000000000001;0,019;0,449;0,001;0,002;0,004;0,7509999999999999;0,0004;0,41600000000000004;0,09300000000000001;0,789;0,01;0,012;0,068;0,011000000000000001;0,015;0,578;0,003;0,037000000000000005;5,2;58,4;0,3;9,5;0,12;2,6;22,5;4,5;53,0;0,6;10,7;0,13;2,1;24,7
48;Э76ХФ;Р65;41,0;45,6666667;18,1666667;45,6666667;2,5424318;0,41156570000000003;0,098384;0,03954;0,096742;0,0416938;1560,0;1597,0;8,1985401;13382,7522936;114,5;1,0;12,48;0,055;0,05;0,43799999999999994;0,102;0,02;0,052445000000000006;0,134;0,055999999999999994;0,17600000000000002;4052,0;0,002;0,461;0,335;0,10400000000000001;0,7559999999999999;0,008;0,01;0,078;0,013999999999999999;0,02;0,473;0,002;0,003;0,004;0,7390000000000001;0,0003;0,41600000000000004;0,10400000000000001;0,7879999999999999;0,008;0,01;0,078;0,013999999999999999;0,012;0,564;0,003;0,036000000000000004;5,3;58,5;0,4;10,0;0,16;2,6;22,6;4,6;58,4;0,3;7,9;0,11;2,2;26,4
50;Э76ХФ;Р65;42,0;48,8333333;16,1833333;48,8333333;2,0;0,495525;0,09894299999999999;0,109653;0,15428599999999998;0,040313699999999994;1582,0;1592,0;11,2042321;12768,692070000001;115,9;1,0;18,238;0,35100000000000003;0,05;0,546;0,069;0,02;0,050709;0,193;0,161;0,177;3444,0;0,001;0,401;0,33399999999999996;0,11199999999999999;0,691;0,009000000000000001;0,009000000000000001;0,079;0,016;0,022000000000000002;0,39899999999999997;0,001;0,002;0,003;0,78;0,0002;0,415;0,111;0,785;0,008;0,011000000000000001;0,079;0,016;0,011000000000000001;0,574;0,002;0,036000000000000004;4,3;51,9;0,7;14,0;0,28;2,1;24,5;4,6;51,6;0,8;15,2;0,13;2,1;25,2
52;Э90ХАФ;Р65;54,0;43,216666700000005;20,8833333;43,033333299999995;2,9430139;0,54064;0,098384;0,10323099999999999;0,110365;0,09221599999999999;1557,0;1626,0;12,6224784;13543,8148444;112,7;1,0;7,3;0,096;0,05;0,602;0,035;0,02;0,101273;0,128;0,153;0,17600000000000002;4714,0;0,002;0,43;0,201;0,10800000000000001;0,72;0,006;0,008;0,067;0,01;0,017;0,449;0,002;0,002;0,004;0,853;0,0005;0,28800000000000003;0,10800000000000001;0,812;0,004;0,016;0,068;0,012;0,01;0,555;0,003;0,084;6,2;57,9;0,3;8,9;0,16;2,6;22,6;6,7;58,6;0,6;5,1;0,08;2,3;25,2
53;Э90ХАФ;Р65;55,0;54,85;32,5166667;54,6666667;2,8397371;0,452715;0,06428500000000001;0,024077;0,10985;0,09123560000000001;1498,0;1606,0;10,1454545;13204,3054844;113,6;1,0;9,92;0,057999999999999996;0,21600000000000003;0,368;0,086;0,02;0,101563;0,157;0,033;0,115;7156,0;0,002;0,516;0,23199999999999998;0,08800000000000001;0,785;0,006;0,008;0,055;0,013999999999999999;0,019;0,465;0,002;0,003;0,004;0,89;0,0003;0,289;0,08800000000000001;0,807;0,004;0,017;0,055;0,016;0,013000000000000001;0,528;0,003;0,083;5,7;57,6;0,6;15,6;0,22;2,8;20,9;4,4;56,2;0,4;12,6;0,14;2,2;26,0
54;Э90ХАФ;Р65;68,0;45,7;21,283333300000002;45,3666667;3,465625;0,541215;0,09111699999999999;0,105108;0,10554000000000001;0,0927359;1546,0;1583,0;9,1057541;13878,4651527;113,4;1,0;8,352;0,12300000000000001;0,05;0,604;0,063;0,02;0,102105;0,12;0,156;0,163;4923,0;0,002;0,43700000000000006;0,21100000000000002;0,10300000000000001;0,711;0,006999999999999999;0,011000000000000001;0,07200000000000001;0,01;0,019;0,45299999999999996;0,001;0,002;0,004;0,871;0,0003;0,289;0,10300000000000001;0,8009999999999999;0,006;0,016;0,07200000000000001;0,011000000000000001;0,013999999999999999;0,545;0,003;0,083;4,9;49,5;0,5;7,9;0,14;2,5;19,5;6,3;56,0;0,4;8,9;0,09;2,3;24,3
